CrimeRate,Year,Total,CrimeGroup,Count
372,2015,115544,House break-ins,19286
356,2016,112354,House break-ins,18760
306,2017,99169,House break-ins,16201
275,2018,88662,House break-ins,15742
258,2019,83456,House break-ins,16497
198,2020,65623,House break-ins,14040
159,2021,52974,House break-ins,11352
153,2022,50813,House break-ins,10585
372,2015,115544,Vehicles Theft,54011
356,2016,112354,Vehicles Theft,48411
306,2017,99169,Vehicles Theft,42159
275,2018,88662,Vehicles Theft,35953
258,2019,83456,Vehicles Theft,30867
198,2020,65623,Vehicles Theft,21579
159,2021,52974,Vehicles Theft,13432
153,2022,50813,Vehicles Theft,14446
372,2015,115544,Other Thefts,20438
356,2016,112354,Other Thefts,22857
306,2017,99169,Other Thefts,19444
275,2018,88662,Other Thefts,20065
258,2019,83456,Other Thefts,19603
198,2020,65623,Other Thefts,16725
159,2021,52974,Other Thefts,16695
153,2022,50813,Other Thefts,15434
372,2015,115544,Murder,498
356,2016,112354,Murder,456
306,2017,99169,Murder,379
275,2018,88662,Murder,323
258,2019,83456,Murder,310
198,2020,65623,Murder,253
159,2021,52974,Murder,243
153,2022,50813,Murder,240
372,2015,115544,Sexual Violence,2047
356,2016,112354,Sexual Violence,1886
306,2017,99169,Sexual Violence,1835
275,2018,88662,Sexual Violence,1648
258,2019,83456,Sexual Violence,1738
198,2020,65623,Sexual Violence,1582
159,2021,52974,Sexual Violence,1553
153,2022,50813,Sexual Violence,1712
372,2015,115544,Robbery,13749
356,2016,112354,Robbery,14453
306,2017,99169,Robbery,14128
275,2018,88662,Robbery,10271
258,2019,83456,Robbery,9729
198,2020,65623,Robbery,7326
159,2021,52974,Robbery,5636
153,2022,50813,Robbery,4589
372,2015,115544,Assault,5515
356,2016,112354,Assault,5531
306,2017,99169,Assault,5024
275,2018,88662,Assault,4660
258,2019,83456,Assault,4712
198,2020,65623,Assault,4118
159,2021,52974,Assault,4063
153,2022,50813,Assault,3807
0,Total,122463,House break-ins,122463
0,Total,260858,Vehicles Theft,260858
0,Total,151261,Other Thefts,151261
0,Total,2702,Murder,2702
0,Total,14001,Sexual Violence,14001
0,Total,79881,Robbery,79881
0,Total,37430,Assault,37430
